 0.2000000E-02  0.9998406E+00 -0.1238134E-01
 0.4000000E-02  0.9995574E+00 -0.2062805E-01
 0.6000000E-02  0.9991332E+00 -0.2886157E-01
 0.8000000E-02  0.9985694E+00 -0.3707553E-01
 0.1000000E-01  0.9978674E+00 -0.4526379E-01
 0.1200000E-01  0.9970294E+00 -0.5342039E-01
 0.1400000E-01  0.9960578E+00 -0.6153958E-01
 0.1600000E-01  0.9949556E+00 -0.6961589E-01
 0.1800000E-01  0.9937261E+00 -0.7764414E-01
 0.2000000E-01  0.9923731E+00 -0.8561950E-01
 0.2200000E-01  0.9909003E+00 -0.9353750E-01
 0.2400000E-01  0.9893122E+00 -0.1013940E+00
 0.2600000E-01  0.9876131E+00 -0.1091855E+00
 0.2800000E-01  0.9858075E+00 -0.1169086E+00
 0.3000000E-01  0.9839004E+00 -0.1245605E+00
 0.3200000E-01  0.9818964E+00 -0.1321389E+00
 0.3400000E-01  0.9798004E+00 -0.1396418E+00
 0.3600000E-01  0.9776173E+00 -0.1470677E+00
 0.3800000E-01  0.9753517E+00 -0.1544154E+00
 0.4000000E-01  0.9730084E+00 -0.1616842E+00
 0.4200000E-01  0.9705918E+00 -0.1688736E+00
 0.4400000E-01  0.9681063E+00 -0.1759837E+00
 0.4600000E-01  0.9655561E+00 -0.1830147E+00
 0.4800000E-01  0.9629451E+00 -0.1899670E+00
 0.5000000E-01  0.9602770E+00 -0.1968414E+00
 0.5200000E-01  0.9575553E+00 -0.2036389E+00
 0.5400000E-01  0.9547832E+00 -0.2103603E+00
 0.5600000E-01  0.9519637E+00 -0.2170071E+00
 0.5800000E-01  0.9490994E+00 -0.2235804E+00
 0.6000000E-01  0.9461928E+00 -0.2300816E+00
 0.6200000E-01  0.9432461E+00 -0.2365120E+00
 0.6400000E-01  0.9402613E+00 -0.2428730E+00
 0.6600000E-01  0.9372401E+00 -0.2491660E+00
 0.6800000E-01  0.9341843E+00 -0.2553920E+00
 0.7000000E-01  0.9310953E+00 -0.2615525E+00
 0.7200000E-01  0.9279743E+00 -0.2676484E+00
 0.7400000E-01  0.9248225E+00 -0.2736808E+00
 0.7600000E-01  0.9216412E+00 -0.2796506E+00
 0.7800000E-01  0.9184312E+00 -0.2855587E+00
 0.8000000E-01  0.9151937E+00 -0.2914058E+00
 0.8200000E-01  0.9119296E+00 -0.2971925E+00
 0.8400000E-01  0.9086399E+00 -0.3029195E+00
 0.8600000E-01  0.9053256E+00 -0.3085872E+00
 0.8800000E-01  0.9019877E+00 -0.3141961E+00
 0.9000000E-01  0.8986273E+00 -0.3197466E+00
 0.9200000E-01  0.8952455E+00 -0.3252392E+00
 0.9400000E-01  0.8918434E+00 -0.3306742E+00
 0.9600000E-01  0.8884223E+00 -0.3360521E+00
 0.9800000E-01  0.8849835E+00 -0.3413733E+00
 0.1000000E+00  0.8815281E+00 -0.3466384E+00
 0.1020000E+00  0.8780577E+00 -0.3518479E+00
 0.1040000E+00  0.8745734E+00 -0.3570025E+00
 0.1060000E+00  0.8710767E+00 -0.3621029E+00
 0.1080000E+00  0.8675690E+00 -0.3671500E+00
 0.1100000E+00  0.8640515E+00 -0.3721447E+00
 0.1120000E+00  0.8605256E+00 -0.3770881E+00
 0.1140000E+00  0.8569925E+00 -0.3819813E+00
 0.1160000E+00  0.8534534E+00 -0.3868255E+00
 0.1180000E+00  0.8499093E+00 -0.3916223E+00
 0.1200000E+00  0.8463613E+00 -0.3963729E+00
 0.1220000E+00  0.8428100E+00 -0.4010788E+00
 0.1240000E+00  0.8392563E+00 -0.4057418E+00
 0.1260000E+00  0.8357007E+00 -0.4103633E+00
 0.1280000E+00  0.8321436E+00 -0.4149450E+00
 0.1300000E+00  0.8285852E+00 -0.4194886E+00
 0.1320000E+00  0.8250255E+00 -0.4239956E+00
 0.1340000E+00  0.8214646E+00 -0.4284678E+00
 0.1360000E+00  0.8179022E+00 -0.4329064E+00
 0.1380000E+00  0.8143377E+00 -0.4373131E+00
 0.1400000E+00  0.8107708E+00 -0.4416892E+00
 0.1420000E+00  0.8072007E+00 -0.4460359E+00
 0.1440000E+00  0.8036266E+00 -0.4503543E+00
 0.1460000E+00  0.8000477E+00 -0.4546452E+00
 0.1480000E+00  0.7964630E+00 -0.4589096E+00
 0.1500000E+00  0.7928713E+00 -0.4631480E+00
 0.1520000E+00  0.7892718E+00 -0.4673608E+00
 0.1540000E+00  0.7856634E+00 -0.4715482E+00
 0.1560000E+00  0.7820449E+00 -0.4757103E+00
 0.1580000E+00  0.7784154E+00 -0.4798469E+00
 0.1600000E+00  0.7747740E+00 -0.4839578E+00
 0.1620000E+00  0.7711197E+00 -0.4880425E+00
 0.1640000E+00  0.7674519E+00 -0.4921004E+00
 0.1660000E+00  0.7637700E+00 -0.4961306E+00
 0.1680000E+00  0.7600736E+00 -0.5001323E+00
