 0.1000000E-01 -0.1727715E-02 -0.1617414E-02 -0.1507113E-02 -0.1396812E-02 -0.1286511E-02 -0.1176210E-02 -0.1065909E-02 -0.9556083E-03 -0.8453073E-03 -0.7350064E-03 -0.6247054E-03 -0.5144044E-03 -0.4041035E-03 -0.2938026E-03 -0.1835016E-03 -0.7320063E-04  0.3710031E-04  0.1474013E-03  0.2577023E-03  0.3680031E-03
 0.2000000E-01 -0.3455438E-02 -0.3234836E-02 -0.3014233E-02 -0.2793630E-02 -0.2573027E-02 -0.2352424E-02 -0.2131822E-02 -0.1911219E-02 -0.1690616E-02 -0.1470013E-02 -0.1249410E-02 -0.1028808E-02 -0.8082047E-03 -0.5876019E-03 -0.3669991E-03 -0.1463963E-03  0.7420647E-04  0.2948093E-03  0.5154122E-03  0.7360149E-03
 0.3000000E-01 -0.5183160E-02 -0.4852256E-02 -0.4521351E-02 -0.4190447E-02 -0.3859542E-02 -0.3528638E-02 -0.3197733E-02 -0.2866829E-02 -0.2535924E-02 -0.2205020E-02 -0.1874115E-02 -0.1543211E-02 -0.1212306E-02 -0.8814019E-03 -0.5504974E-03 -0.2195929E-03  0.1113115E-03  0.4422160E-03  0.7731206E-03  0.1104025E-02
 0.4000000E-01 -0.6910875E-02 -0.6469669E-02 -0.6028464E-02 -0.5587258E-02 -0.5146053E-02 -0.4704848E-02 -0.4263642E-02 -0.3822437E-02 -0.3381232E-02 -0.2940026E-02 -0.2498821E-02 -0.2057615E-02 -0.1616410E-02 -0.1175205E-02 -0.7339992E-03 -0.2927937E-03  0.1484115E-03  0.5896169E-03  0.1030822E-02  0.1472028E-02
 0.5000000E-01 -0.8638589E-02 -0.8087083E-02 -0.7535577E-02 -0.6984070E-02 -0.6432564E-02 -0.5881058E-02 -0.5329551E-02 -0.4778045E-02 -0.4226539E-02 -0.3675032E-02 -0.3123526E-02 -0.2572020E-02 -0.2020514E-02 -0.1469007E-02 -0.9175009E-03 -0.3659946E-03  0.1855115E-03  0.7370178E-03  0.1288524E-02  0.1840030E-02
 0.6000000E-01 -0.1036630E-01 -0.9704489E-02 -0.9042683E-02 -0.8380877E-02 -0.7719070E-02 -0.7057264E-02 -0.6395457E-02 -0.5733651E-02 -0.5071845E-02 -0.4410038E-02 -0.3748232E-02 -0.3086426E-02 -0.2424619E-02 -0.1762813E-02 -0.1101006E-02 -0.4392000E-03  0.2226062E-03  0.8844125E-03  0.1546219E-02  0.2208025E-02
 0.7000000E-01 -0.1209401E-01 -0.1132190E-01 -0.1054979E-01 -0.9777686E-02 -0.9005579E-02 -0.8233472E-02 -0.7461365E-02 -0.6689258E-02 -0.5917151E-02 -0.5145044E-02 -0.4372937E-02 -0.3600830E-02 -0.2828724E-02 -0.2056617E-02 -0.1284510E-02 -0.5124027E-03  0.2597041E-03  0.1031811E-02  0.1803918E-02  0.2576025E-02
 0.8000000E-01 -0.1382172E-01 -0.1293931E-01 -0.1205691E-01 -0.1117450E-01 -0.1029209E-01 -0.9409682E-02 -0.8527274E-02 -0.7644866E-02 -0.6762459E-02 -0.5880051E-02 -0.4997643E-02 -0.4115235E-02 -0.3232827E-02 -0.2350419E-02 -0.1468011E-02 -0.5856034E-03  0.2968042E-03  0.1179212E-02  0.2061620E-02  0.2944028E-02
 0.9000000E-01 -0.1554944E-01 -0.1455673E-01 -0.1356402E-01 -0.1257131E-01 -0.1157860E-01 -0.1058589E-01 -0.9593185E-02 -0.8600476E-02 -0.7607766E-02 -0.6615057E-02 -0.5622348E-02 -0.4629639E-02 -0.3636930E-02 -0.2644220E-02 -0.1651511E-02 -0.6588020E-03  0.3339070E-03  0.1326616E-02  0.2319326E-02  0.3312035E-02
 0.1000000E+00 -0.1727715E-01 -0.1617414E-01 -0.1507113E-01 -0.1396812E-01 -0.1286511E-01 -0.1176210E-01 -0.1065909E-01 -0.9556083E-02 -0.8453073E-02 -0.7350063E-02 -0.6247054E-02 -0.5144044E-02 -0.4041034E-02 -0.2938024E-02 -0.1835014E-02 -0.7320044E-03  0.3710051E-03  0.1474015E-02  0.2577025E-02  0.3680035E-02
 0.1100000E+00 -0.1900487E-01 -0.1779155E-01 -0.1657824E-01 -0.1536493E-01 -0.1415162E-01 -0.1293831E-01 -0.1172500E-01 -0.1051169E-01 -0.9298380E-02 -0.8085070E-02 -0.6871759E-02 -0.5658448E-02 -0.4445138E-02 -0.3231827E-02 -0.2018516E-02 -0.8052057E-03  0.4081048E-03  0.1621415E-02  0.2834726E-02  0.4048037E-02
 0.1200000E+00 -0.2073258E-01 -0.1940897E-01 -0.1808536E-01 -0.1676175E-01 -0.1543813E-01 -0.1411452E-01 -0.1279091E-01 -0.1146730E-01 -0.1014369E-01 -0.8820076E-02 -0.7496464E-02 -0.6172853E-02 -0.4849241E-02 -0.3525629E-02 -0.2202018E-02 -0.8784062E-03  0.4452052E-03  0.1768817E-02  0.3092429E-02  0.4416040E-02
 0.1300000E+00 -0.2246030E-01 -0.2102639E-01 -0.1959247E-01 -0.1815856E-01 -0.1672465E-01 -0.1529073E-01 -0.1385682E-01 -0.1242291E-01 -0.1098900E-01 -0.9555082E-02 -0.8121169E-02 -0.6687256E-02 -0.5253343E-02 -0.3819430E-02 -0.2385517E-02 -0.9516038E-03  0.4823091E-03  0.1916222E-02  0.3350136E-02  0.4784048E-02
 0.1400000E+00 -0.2418802E-01 -0.2264380E-01 -0.2109959E-01 -0.1955537E-01 -0.1801116E-01 -0.1646695E-01 -0.1492273E-01 -0.1337852E-01 -0.1183430E-01 -0.1029009E-01 -0.8745875E-02 -0.7201660E-02 -0.5657446E-02 -0.4113232E-02 -0.2569017E-02 -0.1024803E-02  0.5194113E-03  0.2063626E-02  0.3607840E-02  0.5152054E-02
 0.1500000E+00 -0.2591574E-01 -0.2426122E-01 -0.2260671E-01 -0.2095219E-01 -0.1929768E-01 -0.1764316E-01 -0.1598864E-01 -0.1433413E-01 -0.1267961E-01 -0.1102510E-01 -0.9370579E-02 -0.7716063E-02 -0.6061547E-02 -0.4407031E-02 -0.2752515E-02 -0.1097999E-02  0.5565172E-03  0.2211033E-02  0.3865550E-02  0.5520066E-02
